id_campagne,nom_campagne,canal,budget,date_debut,date_fin,ventes_generees,taux_engagement_percent,Roi_percent,cout_par_vente,mois,annee
M00044,CAMPAGNE LANCEMENT 253,Tv,6895.91,2025-05-23,2025-06-19,230,5.59,128.97,29.98,5,2025
M00045,CAMPAGNE BLACKFRIDAY 230,Tv,12957.03,2025-05-16,2025-06-08,1243,1.3,83.85,10.42,5,2025
M00046,CAMPAGNE LANCEMENT 61,Email,6855.27,2025-07-13,2025-08-07,284,3.9,138.48,24.14,7,2025
M00047,CAMPAGNE LANCEMENT 81,Facebook,12429.08,2025-04-29,2025-05-14,60,11.6,83.37,207.15,4,2025
M00048,CAMPAGNE LANCEMENT 108,Email,1827.56,2025-01-07,2025-01-19,1242,5.55,96.38,1.47,1,2025
M00049,CAMPAGNE BLACKFRIDAY 365,Tiktok,6261.21,2025-06-18,2025-06-29,416,11.99,55.54,15.05,6,2025
M00050,CAMPAGNE SAISON 134,Google Ads,18201.41,2025-01-04,2025-01-22,240,3.5,70.51,75.84,1,2025
M00051,CAMPAGNE SAISON 444,Facebook,19293.15,2025-05-16,2025-05-24,221,9.3,25.98,87.3,5,2025
M00052,CAMPAGNE FIDÉLITÉ 427,Tiktok,5793.26,2024-02-01,2024-02-21,1895,2.74,-2.6,3.06,2,2024
M00053,CAMPAGNE LANCEMENT 147,Tv,9219.32,2024-12-27,2025-01-16,83,4.22,119.58,111.08,12,2024
M00054,CAMPAGNE FIDÉLITÉ 388,Google Ads,5219.04,2024-05-14,2024-05-29,276,4.78,-3.55,18.91,5,2024
M00055,CAMPAGNE BLACKFRIDAY 233,Instagram,19019.26,2025-01-15,2025-01-20,1811,1.89,101.73,10.5,1,2025
M00056,CAMPAGNE INFLUENCE 227,Tiktok,5555.19,2024-01-05,2024-01-25,568,3.36,-0.44,9.78,1,2024
M00057,CAMPAGNE PROMO 18,Email,4349.49,2025-03-06,2025-03-29,227,6.3,116.64,19.16,3,2025
M00058,CAMPAGNE LANCEMENT 179,Tv,7045.2,2025-06-29,2025-07-28,195,2.55,63.43,36.13,6,2025
M00059,CAMPAGNE BLACKFRIDAY 171,Tv,17165.41,2025-08-07,2025-09-05,1816,9.19,143.26,9.45,8,2025
M00060,CAMPAGNE BLACKFRIDAY 487,Google Ads,873.55,2024-12-11,2024-12-21,793,1.09,123.4,1.1,12,2024
M00061,CAMPAGNE FIDÉLITÉ 14,Radio,6627.76,2024-02-22,2024-03-01,1743,9.71,42.19,3.8,2,2024
M00062,CAMPAGNE BLACKFRIDAY 98,Facebook,2232.81,2025-03-13,2025-03-18,1249,1.17,-8.63,1.79,3,2025
M00063,CAMPAGNE PROMO 472,Radio,15158.37,2025-06-27,2025-07-25,646,8.65,115.11,23.46,6,2025
M00064,CAMPAGNE INFLUENCE 23,Radio,1040.95,2025-04-07,2025-04-21,1351,5.43,31.34,0.77,4,2025
M00065,CAMPAGNE BLACKFRIDAY 113,Facebook,10130.26,2024-12-16,2024-12-21,1501,0.59,53.95,6.75,12,2024
M00066,CAMPAGNE FIDÉLITÉ 245,Tiktok,638.33,2025-02-07,2025-03-02,163,8.71,68.91,3.92,2,2025
M00067,CAMPAGNE SAISON 141,Facebook,5703.19,2025-02-07,2025-02-26,1512,4.37,45.93,3.77,2,2025
M00068,CAMPAGNE BLACKFRIDAY 170,Radio,1429.48,2025-02-09,2025-03-11,1506,0.56,53.11,0.95,2,2025
M00069,CAMPAGNE INFLUENCE 40,Google Ads,16224.75,2025-03-01,2025-03-11,1456,2.87,129.66,11.14,3,2025
M00070,CAMPAGNE PROMO 186,Tv,1802.18,2025-08-02,2025-08-07,1469,11.64,44.81,1.23,8,2025
M00071,CAMPAGNE LANCEMENT 274,Facebook,11017.09,2025-02-18,2025-03-20,1865,7.71,49.28,5.91,2,2025
M00072,CAMPAGNE PROMO 257,Radio,15484.73,2025-02-27,2025-03-18,77,8.19,90.18,201.1,2,2025
M00073,CAMPAGNE INFLUENCE 86,Tv,11712.17,2025-08-26,2025-09-13,1017,7.75,5.88,11.52,8,2025
M00074,CAMPAGNE PROMO 325,Radio,7903.93,2024-12-16,2025-01-05,922,11.97,120.65,8.57,12,2024
M00075,CAMPAGNE SAISON 490,Tiktok,13079.23,2024-04-19,2024-05-15,855,4.56,84.05,15.3,4,2024
M00076,CAMPAGNE FIDÉLITÉ 28,Instagram,4820.2,2024-11-04,2024-11-18,708,6.79,124.56,6.81,11,2024
M00077,CAMPAGNE LANCEMENT 318,Instagram,19047.67,2024-08-28,2024-09-04,1606,6.7,34.09,11.86,8,2024
M00078,CAMPAGNE INFLUENCE 197,Instagram,3826.0,2025-01-02,2025-01-26,1469,10.08,53.38,2.6,1,2025
M00079,CAMPAGNE SAISON 198,Instagram,4077.96,2024-08-14,2024-08-26,1396,7.92,94.29,2.92,8,2024
M00080,CAMPAGNE FIDÉLITÉ 11,Google Ads,6844.88,2025-04-18,2025-05-17,1280,5.19,133.84,5.35,4,2025
M00081,CAMPAGNE LANCEMENT 496,Google Ads,3261.76,2024-11-30,2024-12-17,702,6.6,8.68,4.65,11,2024
M00082,CAMPAGNE BLACKFRIDAY 435,Instagram,769.64,2024-11-30,2024-12-21,1128,6.31,101.41,0.68,11,2024
M00083,CAMPAGNE BLACKFRIDAY 430,Tv,1980.31,2025-02-07,2025-02-16,865,2.41,-18.56,2.29,2,2025
M00084,CAMPAGNE BLACKFRIDAY 331,Tiktok,9737.96,2024-01-15,2024-02-11,324,3.59,-18.68,30.06,1,2024
M00085,CAMPAGNE FIDÉLITÉ 253,Radio,3142.67,2025-08-18,2025-09-11,862,5.85,127.03,3.65,8,2025
M00086,CAMPAGNE PROMO 233,Email,13220.49,2024-04-13,2024-04-19,795,2.49,50.55,16.63,4,2024
M00087,CAMPAGNE INFLUENCE 5,Tiktok,16972.0,2025-03-07,2025-03-12,103,10.52,13.12,164.78,3,2025
M00088,CAMPAGNE FIDÉLITÉ 217,Radio,9513.57,2025-01-04,2025-01-11,422,9.99,128.14,22.54,1,2025
M00089,CAMPAGNE BLACKFRIDAY 494,Instagram,1672.97,2024-03-04,2024-03-16,96,6.71,-13.29,17.43,3,2024
M00090,CAMPAGNE LANCEMENT 411,Tv,8363.0,2024-04-22,2024-05-11,1143,0.87,-18.94,7.32,4,2024
M00091,CAMPAGNE INFLUENCE 64,Google Ads,10643.4,2024-10-30,2024-11-19,711,0.76,95.1,14.97,10,2024
M00092,CAMPAGNE PROMO 107,Radio,2752.55,2025-05-03,2025-05-21,530,1.72,104.25,5.19,5,2025
M00093,CAMPAGNE LANCEMENT 357,Tv,4720.91,2025-03-03,2025-03-21,1480,9.3,53.66,3.19,3,2025
M00094,CAMPAGNE FIDÉLITÉ 167,Radio,9968.49,2024-03-02,2024-03-25,331,7.11,52.52,30.12,3,2024
M00095,CAMPAGNE INFLUENCE 318,Tiktok,12995.82,2025-08-13,2025-08-23,1930,8.36,21.98,6.73,8,2025
M00096,CAMPAGNE INFLUENCE 133,Google Ads,3770.3,2025-08-14,2025-08-25,328,5.16,129.92,11.49,8,2025
M00097,CAMPAGNE LANCEMENT 408,Tv,6153.39,2024-11-27,2024-12-13,1500,9.62,103.2,4.1,11,2024
M00098,CAMPAGNE FIDÉLITÉ 98,Radio,3387.42,2024-01-26,2024-02-23,1955,4.38,30.28,1.73,1,2024
M00099,CAMPAGNE INFLUENCE 436,Google Ads,9875.76,2024-08-02,2024-08-24,923,0.54,54.2,10.7,8,2024
M00100,CAMPAGNE BLACKFRIDAY 264,Email,18185.82,2025-06-11,2025-07-10,1502,4.58,61.8,12.11,6,2025
M00101,CAMPAGNE SAISON 496,Email,5802.36,2024-10-28,2024-11-02,396,1.59,34.55,14.65,10,2024
M00102,CAMPAGNE PROMO 339,Email,18532.34,2025-02-06,2025-02-24,112,9.78,126.37,165.47,2,2025
M00103,CAMPAGNE PROMO 326,Google Ads,4487.47,2025-05-08,2025-06-02,633,11.49,35.0,7.09,5,2025
M00104,CAMPAGNE SAISON 394,Instagram,3088.1,2024-07-29,2024-08-24,1837,4.9,121.71,1.68,7,2024
M00105,CAMPAGNE INFLUENCE 248,Facebook,3014.97,2025-05-11,2025-05-18,1912,3.87,95.03,1.58,5,2025
M00106,CAMPAGNE LANCEMENT 395,Instagram,16581.83,2024-10-04,2024-10-28,1780,2.55,63.23,9.32,10,2024
M00107,CAMPAGNE SAISON 291,Facebook,19473.14,2024-01-16,2024-02-08,945,7.61,-14.29,20.61,1,2024
M00108,CAMPAGNE PROMO 367,Tv,14171.48,2025-06-17,2025-07-11,1679,9.9,81.75,8.44,6,2025
M00109,CAMPAGNE PROMO 92,Email,9119.49,2024-01-13,2024-01-18,1140,5.93,-9.32,8.0,1,2024
M00110,CAMPAGNE PROMO 204,Instagram,12567.49,2024-01-13,2024-01-31,1157,9.19,-13.03,10.86,1,2024
M00111,CAMPAGNE INFLUENCE 478,Tiktok,14152.21,2024-05-25,2024-06-10,1579,6.99,77.23,8.96,5,2024
M00112,CAMPAGNE FIDÉLITÉ 409,Radio,6240.43,2025-05-02,2025-05-16,839,5.0,100.11,7.44,5,2025
M00113,CAMPAGNE BLACKFRIDAY 458,Google Ads,5183.62,2024-04-13,2024-04-23,1740,11.85,87.52,2.98,4,2024
M00114,CAMPAGNE INFLUENCE 136,Tv,11543.11,2025-03-22,2025-04-12,1015,4.2,58.41,11.37,3,2025
M00115,CAMPAGNE PROMO 434,Tv,14002.59,2024-07-22,2024-08-10,1522,6.8,110.5,9.2,7,2024
M00116,CAMPAGNE FIDÉLITÉ 406,Instagram,16368.58,2025-03-06,2025-03-14,227,3.27,51.39,72.11,3,2025
M00117,CAMPAGNE FIDÉLITÉ 60,Facebook,2200.69,2024-10-09,2024-10-20,1132,7.89,80.39,1.94,10,2024
M00118,CAMPAGNE LANCEMENT 69,Tiktok,15768.3,2025-01-31,2025-02-06,214,10.64,43.08,73.68,1,2025
M00119,CAMPAGNE FIDÉLITÉ 363,Email,7780.6,2024-06-30,2024-07-24,551,7.58,34.91,14.12,6,2024
M00120,CAMPAGNE PROMO 29,Instagram,5361.06,2025-02-12,2025-02-24,1048,0.86,78.08,5.12,2,2025
M00121,CAMPAGNE INFLUENCE 253,Google Ads,8596.12,2024-01-12,2024-01-18,266,11.17,-15.33,32.32,1,2024
M00122,CAMPAGNE FIDÉLITÉ 311,Google Ads,17476.12,2025-08-26,2025-09-24,535,8.96,129.45,32.67,8,2025
M00123,CAMPAGNE FIDÉLITÉ 196,Radio,16770.48,2024-09-08,2024-09-27,209,0.76,58.82,80.24,9,2024
M00124,CAMPAGNE INFLUENCE 347,Facebook,6404.46,2024-09-01,2024-09-16,1980,11.5,36.06,3.23,9,2024
M00125,CAMPAGNE BLACKFRIDAY 352,Email,7694.62,2024-03-11,2024-03-28,1277,3.66,4.41,6.03,3,2024
M00126,CAMPAGNE BLACKFRIDAY 259,Facebook,16214.29,2024-03-17,2024-03-23,1132,11.25,35.7,14.32,3,2024
M00127,CAMPAGNE PROMO 297,Facebook,14693.5,2025-02-28,2025-03-17,1827,1.93,-7.65,8.04,2,2025
M00128,CAMPAGNE LANCEMENT 16,Facebook,19991.68,2024-05-17,2024-05-27,751,8.47,52.69,26.62,5,2024
M00129,CAMPAGNE LANCEMENT 208,Email,17878.24,2024-02-20,2024-02-27,1569,3.21,-4.87,11.39,2,2024
M00130,CAMPAGNE INFLUENCE 425,Radio,2535.46,2024-05-03,2024-05-09,1975,8.61,116.85,1.28,5,2024
M00131,CAMPAGNE SAISON 169,Tv,5406.87,2024-05-09,2024-05-27,426,7.1,-17.7,12.69,5,2024
M00132,CAMPAGNE FIDÉLITÉ 185,Tv,9212.45,2025-07-08,2025-07-29,760,5.9,87.23,12.12,7,2025
M00133,CAMPAGNE INFLUENCE 298,Radio,3456.94,2024-04-28,2024-05-20,1892,4.38,32.42,1.83,4,2024
M00134,CAMPAGNE LANCEMENT 58,Tv,3568.91,2024-03-30,2024-04-29,1505,1.55,32.47,2.37,3,2024
M00135,CAMPAGNE BLACKFRIDAY 133,Instagram,16648.28,2024-03-28,2024-04-16,984,1.6,94.2,16.92,3,2024
M00136,CAMPAGNE SAISON 98,Tv,7502.34,2024-06-29,2024-07-16,1387,0.85,38.39,5.41,6,2024
M00137,CAMPAGNE LANCEMENT 10,Tv,9637.05,2024-05-31,2024-06-24,223,7.32,124.48,43.22,5,2024
M00138,CAMPAGNE PROMO 218,Email,5860.79,2024-01-01,2024-01-18,190,2.44,130.12,30.85,1,2024
M00139,CAMPAGNE BLACKFRIDAY 282,Instagram,16975.1,2025-02-02,2025-02-20,1673,8.4,81.2,10.15,2,2025
M00140,CAMPAGNE LANCEMENT 234,Email,14640.78,2024-03-01,2024-03-06,884,2.37,72.08,16.56,3,2024
M00141,CAMPAGNE LANCEMENT 401,Email,16270.46,2025-04-15,2025-05-04,1552,2.39,77.67,10.48,4,2025
M00142,CAMPAGNE INFLUENCE 164,Instagram,10604.61,2024-08-01,2024-08-19,1406,7.12,71.66,7.54,8,2024
M00143,CAMPAGNE BLACKFRIDAY 264,Email,11212.98,2024-11-26,2024-12-26,337,7.05,64.71,33.27,11,2024
M00144,CAMPAGNE PROMO 62,Facebook,15344.7,2024-11-25,2024-12-19,1105,11.38,124.29,13.89,11,2024
M00145,CAMPAGNE SAISON 97,Email,17926.38,2024-11-15,2024-11-24,1855,8.49,137.27,9.66,11,2024
M00146,CAMPAGNE FIDÉLITÉ 280,Instagram,558.49,2025-08-26,2025-09-03,559,8.98,59.27,1.0,8,2025
M00147,CAMPAGNE SAISON 90,Email,18251.05,2025-07-05,2025-07-29,1940,2.98,-10.23,9.41,7,2025
M00148,CAMPAGNE FIDÉLITÉ 111,Instagram,10334.58,2024-09-05,2024-09-14,1032,4.99,3.13,10.01,9,2024
M00149,CAMPAGNE FIDÉLITÉ 359,Tv,4300.65,2025-03-03,2025-03-28,462,7.22,0.39,9.31,3,2025
M00150,CAMPAGNE SAISON 173,Radio,8020.74,2024-01-23,2024-02-01,281,1.95,21.12,28.54,1,2024
M00151,CAMPAGNE FIDÉLITÉ 231,Instagram,16966.53,2025-05-25,2025-06-04,1096,5.46,85.01,15.48,5,2025
M00152,CAMPAGNE FIDÉLITÉ 53,Tiktok,2003.1,2024-10-02,2024-10-09,72,8.57,123.67,27.82,10,2024
M00153,CAMPAGNE SAISON 83,Tv,19826.53,2025-07-10,2025-08-07,1136,1.5,44.5,17.45,7,2025
M00154,CAMPAGNE LANCEMENT 25,Radio,15195.15,2025-05-08,2025-06-01,811,6.71,124.03,18.74,5,2025
M00155,CAMPAGNE LANCEMENT 178,Facebook,8902.23,2024-10-26,2024-11-09,753,0.74,-9.82,11.82,10,2024
M00156,CAMPAGNE FIDÉLITÉ 169,Google Ads,2591.34,2024-01-02,2024-01-26,290,10.11,33.75,8.94,1,2024
M00157,CAMPAGNE INFLUENCE 44,Tiktok,8747.67,2025-06-29,2025-07-28,1867,3.13,85.36,4.69,6,2025
M00158,CAMPAGNE LANCEMENT 22,Radio,7979.12,2024-01-22,2024-02-13,644,11.88,18.14,12.39,1,2024
M00159,CAMPAGNE LANCEMENT 260,Facebook,7238.68,2025-04-22,2025-05-12,649,0.72,55.07,11.15,4,2025
M00160,CAMPAGNE PROMO 188,Google Ads,11356.29,2025-06-11,2025-06-18,1831,3.09,29.68,6.2,6,2025
M00161,CAMPAGNE FIDÉLITÉ 312,Google Ads,3356.61,2024-12-07,2025-01-04,1825,2.07,119.63,1.84,12,2024
M00162,CAMPAGNE PROMO 317,Tv,4070.78,2025-01-11,2025-02-10,631,3.42,93.66,6.45,1,2025
M00163,CAMPAGNE LANCEMENT 244,Tiktok,1260.1,2024-07-11,2024-07-19,289,8.61,8.5,4.36,7,2024
M00164,CAMPAGNE LANCEMENT 320,Google Ads,8029.93,2025-02-07,2025-03-02,297,10.0,9.79,27.04,2,2025
M00165,CAMPAGNE SAISON 416,Tv,1868.24,2024-05-09,2024-06-04,1721,11.85,123.6,1.09,5,2024
M00166,CAMPAGNE FIDÉLITÉ 406,Radio,7061.54,2025-07-02,2025-07-27,363,11.78,111.14,19.45,7,2025
M00167,CAMPAGNE LANCEMENT 442,Tiktok,7582.92,2025-05-03,2025-06-02,270,0.56,45.23,28.08,5,2025
M00168,CAMPAGNE PROMO 278,Radio,15369.49,2024-03-03,2024-03-23,1786,11.24,17.87,8.61,3,2024
M00169,CAMPAGNE SAISON 73,Instagram,6614.13,2024-09-20,2024-10-10,1395,2.37,41.3,4.74,9,2024
M00170,CAMPAGNE PROMO 295,Email,13437.37,2024-09-28,2024-10-04,129,9.26,136.99,104.17,9,2024
M00171,CAMPAGNE FIDÉLITÉ 211,Google Ads,2031.47,2024-11-06,2024-12-02,468,3.57,10.53,4.34,11,2024
M00172,CAMPAGNE SAISON 20,Instagram,17822.86,2024-12-21,2025-01-19,256,7.15,148.95,69.62,12,2024
M00173,CAMPAGNE BLACKFRIDAY 235,Tv,1786.06,2024-09-10,2024-10-09,493,2.56,111.24,3.62,9,2024
M00174,CAMPAGNE SAISON 124,Radio,2288.2,2024-02-26,2024-03-02,246,6.29,84.73,9.3,2,2024
M00175,CAMPAGNE LANCEMENT 55,Tv,5588.86,2025-06-21,2025-07-12,1562,3.0,39.76,3.58,6,2025
M00176,CAMPAGNE PROMO 209,Tiktok,18768.23,2025-06-10,2025-07-02,1847,6.78,45.56,10.16,6,2025
M00177,CAMPAGNE PROMO 81,Instagram,6711.91,2024-05-20,2024-06-07,1035,11.43,101.46,6.48,5,2024
M00178,CAMPAGNE INFLUENCE 94,Google Ads,9635.83,2024-04-25,2024-05-07,94,11.24,85.46,102.51,4,2024
M00179,CAMPAGNE FIDÉLITÉ 215,Tiktok,11750.05,2025-05-15,2025-05-30,879,5.58,0.37,13.37,5,2025
M00180,CAMPAGNE FIDÉLITÉ 64,Tiktok,17700.27,2025-07-03,2025-07-12,1737,9.59,7.2,10.19,7,2025
M00181,CAMPAGNE FIDÉLITÉ 46,Tiktok,10629.55,2024-04-03,2024-04-22,1969,7.96,37.87,5.4,4,2024
M00182,CAMPAGNE LANCEMENT 318,Instagram,10824.09,2024-10-17,2024-11-05,870,5.52,-2.42,12.44,10,2024
M00183,CAMPAGNE BLACKFRIDAY 190,Instagram,17047.55,2024-06-08,2024-06-21,416,6.64,115.83,40.98,6,2024
M00184,CAMPAGNE PROMO 418,Tv,17575.39,2025-07-10,2025-08-06,1893,10.32,116.6,9.28,7,2025
M00185,CAMPAGNE FIDÉLITÉ 422,Facebook,17767.19,2025-03-14,2025-04-01,751,3.66,122.76,23.66,3,2025
M00186,CAMPAGNE FIDÉLITÉ 360,Tv,5745.49,2024-09-16,2024-09-30,1346,6.73,98.42,4.27,9,2024
M00187,CAMPAGNE PROMO 156,Radio,18159.49,2024-11-03,2024-11-08,904,1.68,16.89,20.09,11,2024
M00188,CAMPAGNE LANCEMENT 291,Tiktok,1839.38,2025-05-26,2025-06-12,1776,2.45,11.28,1.04,5,2025
M00189,CAMPAGNE BLACKFRIDAY 406,Instagram,10410.88,2025-05-23,2025-06-14,77,6.19,136.78,135.21,5,2025
M00190,CAMPAGNE BLACKFRIDAY 274,Instagram,19319.13,2025-05-18,2025-06-13,1794,11.75,119.89,10.77,5,2025
M00191,CAMPAGNE INFLUENCE 316,Google Ads,8994.0,2024-02-26,2024-03-25,686,2.11,124.15,13.11,2,2024
M00192,CAMPAGNE FIDÉLITÉ 204,Instagram,9550.81,2025-05-16,2025-06-03,1949,4.85,35.02,4.9,5,2025
M00193,CAMPAGNE FIDÉLITÉ 410,Facebook,13524.47,2025-01-13,2025-02-10,173,6.66,12.37,78.18,1,2025
M00194,CAMPAGNE PROMO 59,Tv,17377.09,2024-10-02,2024-10-10,1456,9.9,72.4,11.93,10,2024
M00195,CAMPAGNE PROMO 110,Email,13961.63,2025-03-24,2025-03-29,1606,11.38,51.53,8.69,3,2025
M00196,CAMPAGNE LANCEMENT 43,Tiktok,6488.98,2024-05-14,2024-05-26,248,6.88,97.67,26.17,5,2024
M00197,CAMPAGNE LANCEMENT 156,Tv,7527.78,2025-04-26,2025-05-01,1264,8.43,7.74,5.96,4,2025
M00198,CAMPAGNE FIDÉLITÉ 412,Tv,9073.38,2025-05-05,2025-05-24,686,6.53,-4.97,13.23,5,2025
M00199,CAMPAGNE BLACKFRIDAY 61,Instagram,4790.44,2024-11-14,2024-11-25,1396,9.18,139.79,3.43,11,2024
M00200,CAMPAGNE SAISON 48,Email,6875.42,2024-09-22,2024-09-30,1581,9.05,90.48,4.35,9,2024
M00201,CAMPAGNE FIDÉLITÉ 314,Facebook,7978.51,2025-05-02,2025-05-30,320,7.39,145.5,24.93,5,2025
M00202,CAMPAGNE INFLUENCE 95,Google Ads,16009.82,2025-03-02,2025-03-29,1573,2.5,16.89,10.18,3,2025
M00203,CAMPAGNE PROMO 237,Google Ads,9674.44,2024-10-14,2024-10-22,1918,2.28,16.18,5.04,10,2024
M00204,CAMPAGNE BLACKFRIDAY 362,Google Ads,11442.14,2024-06-15,2024-07-12,1217,6.39,50.9,9.4,6,2024
M00205,CAMPAGNE INFLUENCE 29,Email,12352.28,2025-03-31,2025-04-15,734,7.16,26.7,16.83,3,2025
M00206,CAMPAGNE SAISON 94,Email,19335.35,2025-02-20,2025-03-17,900,9.69,130.42,21.48,2,2025
M00207,CAMPAGNE LANCEMENT 370,Tv,16974.77,2025-05-14,2025-05-20,1609,6.18,56.87,10.55,5,2025
M00208,CAMPAGNE INFLUENCE 3,Google Ads,9710.63,2025-08-18,2025-09-03,571,4.67,27.47,17.01,8,2025
M00209,CAMPAGNE BLACKFRIDAY 319,Instagram,7967.48,2025-05-28,2025-06-24,590,1.62,71.64,13.5,5,2025
M00210,CAMPAGNE SAISON 148,Facebook,13269.27,2024-09-13,2024-09-22,501,7.69,32.26,26.49,9,2024
M00211,CAMPAGNE FIDÉLITÉ 458,Tiktok,4518.45,2024-09-24,2024-10-04,1889,6.67,61.14,2.39,9,2024
