ds,montant,is_depense,is_revenu
2024-01-16,147569.34,0,1
2024-01-16,125427.44,1,0
2024-01-16,143729.46,1,0
2024-01-16,191197.52,1,0
2024-01-16,470957.13,0,1
2024-01-17,446861.48,0,1
2024-01-17,145054.32,1,0
2024-01-17,255703.13,0,1
2024-01-17,274295.73,0,1
2024-01-17,346261.85,0,1
2024-01-17,452699.39,0,1
2024-01-17,91587.86,0,1
2024-01-17,415879.72,0,1
2024-01-17,120568.33,0,1
2024-01-17,366567.11,0,1
2024-01-17,50486.72,1,0
2024-01-17,59214.78,0,1
2024-01-17,425184.17,0,1
2024-01-17,127619.86,1,0
2024-01-17,348678.33,0,1
2024-01-17,100042.68,0,1
2024-01-17,179980.57,1,0
2024-01-17,130853.33,1,0
2024-01-17,255135.58,0,1
2024-01-17,261698.83,0,1
2024-01-18,87055.69,1,0
2024-01-18,178724.84,1,0
2024-01-18,168282.69,0,1
2024-01-18,127981.01,1,0
2024-01-18,269137.76,0,1
2024-01-18,33280.24,0,1
2024-01-18,106333.06,1,0
2024-01-18,160959.84,1,0
2024-01-18,493706.71,0,1
2024-01-18,27400.66,1,0
2024-01-18,145477.59,1,0
2024-01-18,267441.57,0,1
2024-01-18,70788.57,0,1
2024-01-19,18413.16,1,0
2024-01-19,166647.09,1,0
2024-01-19,43694.97,1,0
2024-01-19,348340.89,0,1
2024-01-19,405865.59,0,1
2024-01-19,48705.42,1,0
2024-01-19,63295.38,0,1
2024-01-19,187368.01,0,1
2024-01-19,63351.98,1,0
2024-01-19,5567.17,1,0
2024-01-19,306765.71,0,1
2024-01-19,348578.25,0,1
2024-01-19,53671.95,1,0
2024-01-19,155062.32,1,0
2024-01-19,106400.1,1,0
2024-01-19,194070.92,1,0
2024-01-19,264851.15,0,1
2024-01-19,300853.6,0,1
2024-01-19,412973.63,0,1
2024-01-20,84681.32,1,0
2024-01-20,345871.42,0,1
2024-01-20,176180.38,0,1
2024-01-20,180417.06,1,0
2024-01-20,5815.29,1,0
2024-01-20,89268.35,1,0
2024-01-20,80416.88,0,1
2024-01-20,62369.15,0,1
2024-01-20,359911.78,0,1
2024-01-20,367620.2,0,1
2024-01-20,299120.81,0,1
2024-01-21,364624.23,0,1
2024-01-21,412903.04,0,1
2024-01-21,76791.27,1,0
2024-01-21,13903.39,1,0
2024-01-21,156529.54,1,0
2024-01-21,150795.27,1,0
2024-01-21,34522.37,0,1
2024-01-21,195248.87,0,1
2024-01-22,414964.59,0,1
2024-01-22,373967.76,0,1
2024-01-22,173437.99,1,0
2024-01-22,11213.36,1,0
2024-01-22,481570.03,0,1
2024-01-22,44564.94,0,1
2024-01-22,469089.77,0,1
2024-01-22,282553.22,0,1
2024-01-22,329479.59,0,1
2024-01-22,23725.65,0,1
2024-01-22,20407.91,1,0
2024-01-22,41305.97,1,0
2024-01-22,149563.43,1,0
2024-01-22,26851.89,1,0
2024-01-22,189909.2,1,0
2024-01-23,371716.94,0,1
2024-01-23,70207.38,1,0
2024-01-23,14718.85,0,1
2024-01-23,154656.95,1,0
2024-01-23,70673.01,1,0
2024-01-23,4716.0,0,1
2024-01-23,240391.03,0,1
2024-01-23,108992.54,0,1
2024-01-23,138997.53,1,0
2024-01-23,8059.01,0,1
2024-01-23,290925.08,0,1
2024-01-23,16221.88,1,0
2024-01-23,83110.1,0,1
2024-01-23,29859.24,1,0
2024-01-23,145186.0,0,1
2024-01-24,76396.1,1,0
2024-01-24,373148.33,0,1
2024-01-24,376355.32,0,1
2024-01-24,259112.53,0,1
2024-01-24,34263.36,1,0
2024-01-24,23926.88,1,0
2024-01-24,119518.43,1,0
2024-01-24,52600.8,1,0
2024-01-24,18073.52,0,1
2024-01-24,31529.53,0,1
2024-01-24,113604.02,1,0
2024-01-24,30856.46,1,0
2024-01-25,387368.24,0,1
2024-01-25,103204.97,1,0
2024-01-25,26437.94,1,0
2024-01-25,202413.15,0,1
2024-01-25,191980.92,1,0
2024-01-25,258341.44,0,1
2024-01-25,102562.47,1,0
2024-01-25,28259.38,1,0
2024-01-25,12773.48,1,0
2024-01-25,478508.08,0,1
2024-01-25,104391.37,1,0
2024-01-25,73021.77,0,1
2024-01-25,79518.43,1,0
2024-01-25,325185.44,0,1
2024-01-25,285250.92,0,1
2024-01-26,62371.0,0,1
2024-01-26,276385.57,0,1
2024-01-26,120074.6,1,0
2024-01-26,7972.34,1,0
2024-01-26,183001.28,0,1
2024-01-26,192888.92,0,1
2024-01-26,210176.67,0,1
2024-01-26,39039.8,0,1
2024-01-26,91031.59,1,0
2024-01-26,376521.79,0,1
2024-01-26,359414.59,0,1
2024-01-26,164924.08,1,0
2024-01-26,5535.28,1,0
2024-01-26,380989.62,0,1
2024-01-26,21824.53,1,0
2024-01-26,17140.3,1,0
2024-01-26,101916.27,1,0
2024-01-26,154417.17,1,0
2024-01-26,16330.46,1,0
2024-01-27,21708.22,1,0
2024-01-27,474395.09,0,1
2024-01-27,64416.76,1,0
2024-01-27,262053.79,0,1
2024-01-27,185014.67,1,0
2024-01-27,26350.46,1,0
2024-01-27,41912.56,1,0
2024-01-27,63815.65,1,0
2024-01-27,73571.08,1,0
2024-01-27,73714.98,0,1
2024-01-27,283741.24,0,1
2024-01-27,39949.42,0,1
2024-01-27,134816.34,1,0
2024-01-27,439513.0,0,1
2024-01-27,223781.86,0,1
2024-01-27,198348.4,1,0
2024-01-27,58012.4,1,0
2024-01-27,342165.51,0,1
2024-01-28,191140.83,0,1
2024-01-28,3777.99,1,0
2024-01-28,349578.91,0,1
2024-01-28,350898.78,0,1
2024-01-28,6738.11,1,0
2024-01-28,7528.16,1,0
2024-01-28,112335.9,1,0
2024-01-28,139042.47,0,1
2024-01-28,69221.7,1,0
2024-01-28,75657.28,1,0
2024-01-28,208704.21,0,1
2024-01-28,158052.22,1,0
2024-01-29,116322.55,0,1
2024-01-29,6529.09,1,0
2024-01-29,414890.25,0,1
2024-01-29,147727.97,1,0
2024-01-29,411336.18,0,1
2024-01-29,402836.79,0,1
2024-01-29,497553.64,0,1
2024-01-29,306074.24,0,1
2024-01-29,78763.06,0,1
2024-01-29,173601.15,1,0
2024-01-29,68983.41,1,0
2024-01-29,21196.91,1,0
2024-01-30,159102.26,1,0
2024-01-30,58297.86,1,0
2024-01-30,294496.22,0,1
2024-01-30,94482.91,1,0
2024-01-30,29011.65,1,0
2024-01-30,103269.37,0,1
2024-01-30,48638.51,1,0
2024-01-30,148575.62,1,0
2024-01-30,365355.15,0,1
2024-01-30,80456.04,1,0
2024-01-30,63457.18,1,0
2024-01-30,273809.35,0,1
2024-01-30,172648.53,1,0
2024-01-30,13158.67,1,0
2024-01-30,455910.32,0,1
2024-01-30,259442.0,0,1
2024-01-31,35778.79,1,0
2024-01-31,441143.21,0,1
2024-01-31,339514.72,0,1
2024-01-31,27788.07,1,0
2024-01-31,11388.11,0,1
2024-01-31,36463.12,1,0
2024-01-31,74235.32,1,0
2024-01-31,460679.96,0,1
2024-01-31,72620.67,1,0
2024-01-31,103594.26,1,0
2024-01-31,242178.39,0,1
2024-01-31,127360.47,1,0
2024-01-31,174910.74,1,0
2024-01-31,146376.92,1,0
2024-02-01,493975.0,0,1
2024-02-01,37519.68,0,1
2024-02-01,221032.5,0,1
2024-02-01,59981.02,0,1
2024-02-01,114431.65,0,1
2024-02-01,65338.91,1,0
2024-02-01,77763.92,0,1
2024-02-01,67531.46,1,0
2024-02-01,59748.81,1,0
2024-02-01,65827.36,1,0
2024-02-01,398322.53,0,1
2024-02-01,12630.59,1,0
2024-02-02,157583.23,1,0
2024-02-02,198650.33,0,1
2024-02-02,83439.52,1,0
2024-02-02,132245.76,1,0
2024-02-02,29948.87,0,1
2024-02-02,40157.24,1,0
2024-02-02,162778.61,1,0
2024-02-02,391895.44,0,1
2024-02-02,172018.08,1,0
2024-02-02,47552.99,1,0
2024-02-02,387014.01,0,1
2024-02-02,115055.84,0,1
2024-02-02,338247.79,0,1
2024-02-02,29590.79,0,1
2024-02-02,19051.67,0,1
2024-02-02,170086.94,1,0
2024-02-02,343855.15,0,1
2024-02-03,223383.53,0,1
2024-02-03,411851.33,0,1
2024-02-03,85650.66,1,0
2024-02-03,163925.26,1,0
2024-02-03,449108.92,0,1
2024-02-03,177998.17,1,0
2024-02-03,100083.22,1,0
2024-02-03,232698.62,0,1
2024-02-03,18338.5,1,0
2024-02-03,106172.2,0,1
2024-02-03,140810.65,1,0
2024-02-03,111793.64,1,0
2024-02-03,366268.62,0,1
2024-02-03,231073.1,0,1
2024-02-03,102187.08,0,1
2024-02-04,4054.54,1,0
2024-02-04,105091.59,1,0
2024-02-04,214170.45,0,1
2024-02-04,109777.16,1,0
2024-02-04,80848.81,1,0
2024-02-04,349260.22,0,1
2024-02-04,174704.35,1,0
2024-02-04,362235.87,0,1
2024-02-04,492222.51,0,1
2024-02-04,86851.37,1,0
2024-02-04,84589.4,1,0
2024-02-04,118659.58,1,0
2024-02-04,8229.7,1,0
2024-02-04,175263.2,1,0
2024-02-05,34926.96,0,1
2024-02-05,255917.31,0,1
2024-02-05,175131.63,1,0
2024-02-05,96420.1,1,0
2024-02-05,91893.32,1,0
2024-02-05,122860.88,0,1
2024-02-05,47240.47,0,1
2024-02-05,39516.63,0,1
2024-02-05,9945.94,0,1
2024-02-05,372442.52,0,1
2024-02-05,275169.58,0,1
2024-02-05,42217.54,0,1
2024-02-05,181132.5,1,0
2024-02-05,190329.17,1,0
2024-02-05,37237.17,1,0
2024-02-05,124721.45,1,0
2024-02-05,106548.65,1,0
2024-02-05,328248.83,0,1
2024-02-05,107900.59,1,0
2024-02-05,75133.71,1,0
2024-02-06,9772.55,0,1
2024-02-06,45019.31,1,0
2024-02-06,359411.92,0,1
2024-02-06,223790.35,0,1
2024-02-06,35203.86,0,1
2024-02-06,264041.63,0,1
2024-02-06,363663.03,0,1
2024-02-06,130858.24,1,0
2024-02-06,51014.04,0,1
2024-02-06,158380.85,1,0
2024-02-06,160859.57,1,0
2024-02-06,31797.15,0,1
2024-02-06,194930.48,1,0
2024-02-06,20227.73,1,0
2024-02-06,138518.97,0,1
2024-02-06,135955.46,1,0
2024-02-06,69752.37,0,1
2024-02-06,103396.43,1,0
2024-02-07,127442.8,1,0
2024-02-07,59662.64,0,1
2024-02-07,148017.03,0,1
2024-02-07,7798.29,0,1
2024-02-07,117298.04,1,0
2024-02-07,180325.32,1,0
2024-02-07,142981.66,0,1
2024-02-07,31127.75,1,0
2024-02-07,175841.93,1,0
2024-02-07,95598.25,1,0
2024-02-07,325708.77,0,1
2024-02-07,107523.28,1,0
2024-02-07,105867.36,0,1
2024-02-07,265275.48,0,1
2024-02-07,20631.34,1,0
2024-02-07,85127.5,1,0
2024-02-07,147665.57,1,0
2024-02-07,20862.63,1,0
2024-02-07,79696.47,1,0
2024-02-07,151798.74,0,1
2024-02-08,169340.42,1,0
2024-02-08,137209.48,1,0
2024-02-08,415928.23,0,1
2024-02-08,87251.85,1,0
2024-02-08,23698.41,1,0
2024-02-08,18108.94,1,0
2024-02-08,189926.87,1,0
2024-02-08,32533.2,1,0
2024-02-08,301298.73,0,1
2024-02-08,128058.85,1,0
2024-02-08,186632.78,1,0
2024-02-08,351529.37,0,1
2024-02-08,120432.45,1,0
2024-02-08,127800.9,1,0
2024-02-09,64903.99,0,1
2024-02-09,97150.87,1,0
2024-02-09,192391.47,0,1
2024-02-09,489824.2,0,1
2024-02-09,84634.31,1,0
2024-02-09,451899.49,0,1
2024-02-09,12657.94,0,1
2024-02-09,156691.37,1,0
2024-02-09,149531.87,0,1
2024-02-09,84710.44,0,1
2024-02-09,187865.47,0,1
2024-02-09,92628.38,0,1
2024-02-09,329479.97,0,1
2024-02-09,35967.41,1,0
2024-02-09,199737.32,1,0
2024-02-09,42974.63,1,0
2024-02-09,315375.48,0,1
2024-02-09,139750.11,1,0
2024-02-10,454983.7,0,1
2024-02-10,106860.85,1,0
2024-02-10,104914.39,1,0
2024-02-10,225832.72,0,1
2024-02-10,189749.22,0,1
2024-02-10,80631.15,0,1
2024-02-10,321349.61,0,1
2024-02-10,92555.95,1,0
2024-02-10,438337.27,0,1
2024-02-10,88181.27,0,1
2024-02-10,66032.57,1,0
2024-02-10,115448.83,1,0
2024-02-10,79798.81,1,0
2024-02-10,499415.49,0,1
2024-02-10,100020.62,1,0
2024-02-10,185923.15,1,0
2024-02-10,15476.84,1,0
2024-02-11,423659.49,0,1
2024-02-11,102265.62,1,0
2024-02-11,255457.69,0,1
2024-02-11,149940.09,0,1
2024-02-11,487473.25,0,1
2024-02-11,184671.46,0,1
2024-02-11,201190.13,0,1
2024-02-11,56443.55,1,0
2024-02-11,71771.64,1,0
2024-02-11,196606.99,0,1
2024-02-11,2406.14,0,1
2024-02-11,60897.28,1,0
2024-02-12,10925.14,1,0
2024-02-12,277584.36,0,1
2024-02-12,176978.27,1,0
2024-02-12,64499.41,1,0
2024-02-12,155523.1,0,1
2024-02-12,37381.91,0,1
2024-02-12,119486.61,1,0
2024-02-12,221654.02,0,1
2024-02-12,35837.63,1,0
2024-02-12,258642.62,0,1
2024-02-12,125277.27,1,0
2024-02-12,168444.28,1,0
2024-02-12,54890.8,1,0
2024-02-12,186143.78,1,0
2024-02-12,149460.64,1,0
2024-02-12,29834.32,0,1
2024-02-13,195624.72,1,0
2024-02-13,447810.4,0,1
2024-02-13,112720.56,1,0
2024-02-13,110438.48,0,1
2024-02-13,59855.91,1,0
2024-02-13,159660.83,1,0
2024-02-13,172288.87,0,1
2024-02-13,31045.68,0,1
2024-02-13,163231.89,0,1
2024-02-13,478823.85,0,1
2024-02-13,200501.02,0,1
2024-02-13,204961.32,0,1
2024-02-13,54929.77,0,1
2024-02-13,15020.05,1,0
2024-02-13,120930.2,1,0
2024-02-13,176267.19,1,0
2024-02-13,217772.6,0,1
2024-02-13,281224.89,0,1
2024-02-13,369155.04,0,1
2024-02-14,329526.68,0,1
2024-02-14,270494.82,0,1
2024-02-14,480627.36,0,1
2024-02-14,58086.14,1,0
2024-02-14,114706.24,1,0
2024-02-14,79770.47,1,0
2024-02-14,141325.83,1,0
2024-02-14,118293.03,1,0
2024-02-14,25761.13,0,1
2024-02-15,155552.25,0,1
2024-02-15,383955.95,0,1
2024-02-15,78499.03,1,0
2024-02-15,114428.99,0,1
2024-02-15,155902.5,0,1
2024-02-15,192328.26,1,0
2024-02-15,109347.72,0,1
2024-02-15,225910.19,0,1
2024-02-15,43475.71,1,0
2024-02-15,340626.98,0,1
2024-02-15,48062.01,1,0
2024-02-15,433970.68,0,1
2024-02-16,192360.93,0,1
2024-02-16,206267.67,0,1
2024-02-16,47296.05,0,1
2024-02-16,38400.81,0,1
2024-02-16,102826.36,0,1
2024-02-16,134909.99,0,1
2024-02-16,141464.42,1,0
2024-02-16,43686.23,0,1
2024-02-16,115014.35,1,0
2024-02-16,142331.37,0,1
2024-02-16,357381.03,0,1
2024-02-16,319739.34,0,1
2024-02-16,373913.65,0,1
2024-02-16,144906.97,1,0
2024-02-16,77082.81,1,0
2024-02-16,54002.92,1,0
2024-02-17,95675.61,1,0
2024-02-17,35690.55,0,1
2024-02-17,165429.0,1,0
2024-02-17,70570.96,1,0
2024-02-17,109497.03,1,0
2024-02-17,78886.13,1,0
2024-02-17,86120.68,1,0
2024-02-17,144216.74,1,0
2024-02-17,451319.5,0,1
2024-02-17,458648.94,0,1
2024-02-17,101793.64,1,0
2024-02-17,117006.63,1,0
2024-02-17,49126.95,1,0
2024-02-17,358029.38,0,1
2024-02-17,265753.92,0,1
2024-02-17,117750.35,0,1
2024-02-17,163039.92,1,0
2024-02-17,347335.73,0,1
2024-02-17,80885.67,1,0
2024-02-17,182918.05,0,1
2024-02-17,79742.67,0,1
2024-02-17,110563.48,0,1
2024-02-17,73049.35,0,1
2024-02-17,18285.85,1,0
2024-02-17,428524.53,0,1
2024-02-18,453479.42,0,1
2024-02-18,64254.5,0,1
2024-02-18,111117.95,1,0
2024-02-18,250937.71,0,1
2024-02-18,114613.95,1,0
2024-02-18,152421.0,1,0
2024-02-18,21961.27,1,0
2024-02-18,418315.47,0,1
2024-02-18,362932.21,0,1
2024-02-18,179907.08,1,0
2024-02-18,141806.27,1,0
2024-02-18,414792.91,0,1
2024-02-18,464016.36,0,1
2024-02-18,287342.5,0,1
2024-02-18,144709.6,1,0
2024-02-18,188731.09,0,1
2024-02-18,143325.09,0,1
2024-02-19,10355.91,1,0
2024-02-19,244106.01,0,1
2024-02-19,176565.79,0,1
2024-02-19,143824.34,1,0
2024-02-19,332776.44,0,1
2024-02-19,468226.49,0,1
2024-02-19,253031.38,0,1
2024-02-19,449854.53,0,1
2024-02-19,342550.53,0,1
2024-02-19,329359.41,0,1
2024-02-19,14045.52,0,1
2024-02-19,159335.19,1,0
2024-02-19,188369.28,1,0
2024-02-19,27007.47,1,0
2024-02-19,161328.44,1,0
2024-02-19,233475.63,0,1
2024-02-19,187558.37,1,0
2024-02-19,58671.8,1,0
2024-02-19,78950.69,1,0
2024-02-20,195839.41,1,0
2024-02-20,36079.27,1,0
2024-02-20,254984.57,0,1
2024-02-20,15869.77,1,0
2024-02-20,53964.97,1,0
2024-02-20,122666.4,0,1
2024-02-20,224168.19,0,1
2024-02-20,424488.92,0,1
2024-02-20,9955.24,1,0
2024-02-20,141767.29,1,0
2024-02-20,324897.25,0,1
2024-02-20,426346.25,0,1
2024-02-20,81760.66,1,0
2024-02-20,19462.48,1,0
2024-02-20,162062.95,0,1
2024-02-20,21677.73,0,1
2024-02-21,141196.13,0,1
2024-02-21,16342.5,0,1
2024-02-21,13665.16,1,0
2024-02-21,445192.45,0,1
2024-02-21,126188.59,1,0
2024-02-21,125493.76,1,0
2024-02-21,483575.46,0,1
2024-02-21,9012.13,1,0
2024-02-21,416198.9,0,1
2024-02-21,415632.88,0,1
2024-02-21,361097.98,0,1
2024-02-21,88121.57,1,0
2024-02-21,85932.84,1,0
2024-02-21,153891.44,1,0
2024-02-21,174793.45,1,0
2024-02-21,244845.54,0,1
2024-02-21,287536.21,0,1
2024-02-21,145017.8,1,0
2024-02-21,19679.0,1,0
2024-02-21,172058.11,1,0
2024-02-21,219581.25,0,1
2024-02-22,35155.44,1,0
2024-02-22,54646.96,1,0
2024-02-22,61769.91,1,0
2024-02-22,385608.28,0,1
2024-02-22,138435.45,0,1
2024-02-22,172214.09,0,1
2024-02-22,84608.58,1,0
2024-02-22,112191.15,1,0
2024-02-22,482755.36,0,1
2024-02-22,168247.62,1,0
2024-02-22,198467.92,0,1
2024-02-22,404199.67,0,1
2024-02-23,84126.86,1,0
2024-02-23,38967.37,1,0
2024-02-23,174199.24,1,0
2024-02-23,257628.45,0,1
2024-02-23,210024.27,0,1
2024-02-23,232654.44,0,1
2024-02-23,201361.58,0,1
2024-02-23,52863.35,1,0
2024-02-23,145627.12,1,0
2024-02-23,169162.33,0,1
2024-02-23,62174.6,0,1
2024-02-23,36219.48,0,1
2024-02-23,18836.3,1,0
2024-02-23,116882.58,1,0
2024-02-23,14745.4,0,1
2024-02-24,64328.35,1,0
2024-02-24,173457.39,1,0
2024-02-24,22259.5,1,0
2024-02-24,403145.39,0,1
2024-02-24,199606.11,1,0
2024-02-24,260701.07,0,1
2024-02-24,390443.99,0,1
2024-02-24,26769.24,0,1
2024-02-24,57311.47,1,0
2024-02-24,279532.45,0,1
2024-02-24,250935.75,0,1
2024-02-24,49994.12,1,0
2024-02-24,56680.4,0,1
2024-02-24,145387.21,1,0
2024-02-24,405782.89,0,1
2024-02-24,84096.92,1,0
2024-02-24,149146.56,1,0
2024-02-24,75715.27,1,0
